source,type,code,short_name,description,status
0337,DEDUCTION,911N,ПеречСубсидЗатратУпл%ИпКр,"Перечисление суммы ипотечной субсидии на счет работника, заключившего договор ипотечного кредита с уполномоченным банком",CONFIRMED
0337,DEDUCTION,908P,УдержЗаПрожОбщежитииСумма,Удержание платы за проживание в общежитии,CONFIRMED
0337,DEDUCTION,907U,УдержЗаБракВРаботеСторно,Удержание за брак в работе,CONFIRMED
0337,DEDUCTION,906D,ДенежныеНачетыУслугОАОСум,Денежные начеты,CONFIRMED
0337,DEDUCTION,904Y,ДопСтрахВзносНакопТрудПен,"Дополнительные страховые взносы работников на накопительную часть трудовой пенсии, отчисляемые по заявлению работника",CONFIRMED
0337,DEDUCTION,904P,ДопСтрахВзносНакопТрудПен,"Дополнительные страховые взносы работников на накопительную часть трудовой пенсии, отчисляемые по заявлению работника",CONFIRMED
0337,DEDUCTION,902F,ПрофсоюзПрочийКредитСумм.,"Удержания профсоюзных взносов. Профсоюз не ОАО ""РЖД""",CONFIRMED
0337,DEDUCTION,902B,ПрофсоюзВторойКредитор,"Удержания профсоюзных взносов. Профсоюз не ОАО ""РЖД""",CONFIRMED
0337,DEDUCTION,902A,ПрофсоюзПервыйКредитор,"Удержания профсоюзных взносов. Профсоюз ОАО ""РЖД""",CONFIRMED
0337,DEDUCTION,900P,УдержНаОбучЗаключДоговор,Удержание затрат на обучение в соответствии с заключённым договором,CONFIRMED
0337,DEDUCTION,897A,УдерПеречислВКредитныеОрг,"Заработная выплата, причитающаяся к выплате после всех произведенных удержаний",CONFIRMED
0337,DEDUCTION,894V,ЗадолжПодотчСумПрофОбучДр,Корректировка удержания командировочных расходов,CONFIRMED
0337,DEDUCTION,894U,ЗадоПодотчСумКоманРасРСто,Корректировка удержания командировочных расходов,CONFIRMED
0338,DEDUCTION,933R,УДНПФ_КорпорДогРаботн_КСП,Удержание по заявлению работника взносов по заключенному индивидуальному договору,CONFIRMED
0338,DEDUCTION,932R,"УдержНПФ""Благ""ДопЛичВзнос",Страховые взносы в негосударственный пенсионный фонд «Благосостояние» — дополнительный личный пенсионный взнос,CONFIRMED
0338,DEDUCTION,932O,УдерДопЛичнВзнЕдинВознСум,Страховые взносы в негосударственный пенсионный фонд «Благосостояние» — дополнительный личный пенсионный взнос,CONFIRMED
0338,DEDUCTION,932L,УдержНПФДопЛичнВзнос13%,"Дополнительный личный пенсионный взнос по договору негосударственного пенсионного обеспечения с АО «НПФ «БЛАГОСОСТОЯНИЕ» при наличии у работника соответствующего заявления по форме № 204-Дн в размере коэффициента 0,13 к сумме ежемесячного личного пенсионного взноса",CONFIRMED
0338,DEDUCTION,932E,УдДопЛичнВзнЕдинВознУволн,Страховые взносы в негосударственный пенсионный фонд «Благосостояние» (*дополнительный личный взнос с единовременного вознаграждения при увольнении),CONFIRMED
0339,ACCRUAL,0351,ОплВыходДнСверхНорРабВр18,Оплата работы в выходной день сверх нормы рабочего времени за следование пассажиром,CONFIRMED
0339,ACCRUAL,026D,РайоннКоэффРФ,Выплаты по районным коэффициентам по законодательству РФ за дополнительное премирование,CONFIRMED
0339,ACCRUAL,035H,ОплПраздДнСверхНорВрМарЛБ,Оплата в размере одинарной тарифной ставки (оклада) за работу в нерабочие праздничные дни сверх нормы рабочего времени по маршруту машиниста,CONFIRMED
0339,ACCRUAL,026B,РайонКоэффПремПрошлМесРФ,Выплаты по районным коэффициентам по законодательству РФ за прошедший месяц,CONFIRMED
0339,ACCRUAL,026A,РайонныйКоэффициентРФ,Выплаты по районным коэффициентам по законодательству РФ за текущий месяц,CONFIRMED
0339,ACCRUAL,025L,НадбЗаКлассКвалификац/Б,Надбавка за класс квалификации и профессиональное мастерство по маршруту машиниста,CONFIRMED
0339,ACCRUAL,0358,ОплПраздДнейСверхНорВрВед,Оплата в размере одинарной тарифной ставки (оклада) за работу в нерабочие праздничные дни сверх нормы рабочего времени по ведомости ТХУ-3,CONFIRMED
0339,ACCRUAL,025I,НадЗаКласКвал%ОтрВрПРКома,Надбавка за класс квалификации и профессиональное мастерство за часы в командировке сверх нормы,CONFIRMED
0339,ACCRUAL,025A,НадЗаКласКвал%ОтРабВрФакт,Надбавка за класс квалификации и профессиональное мастерство по табелю,CONFIRMED
0339,ACCRUAL,023L,ДоплатаЗаРаботуНочноеВремя,Доплата за работу в ночное время по маршруту машиниста,CONFIRMED
0339,ACCRUAL,0354,ОплПраздДнСверхНорРабВр54,Оплата в размере одинарной тарифной ставки (оклада) за работу в нерабочие праздничные дни сверх нормы рабочего времени за работу дублером,CONFIRMED
0339,ACCRUAL,023J,ДоплЗаРабНочнВремСумКоман,Доплата за работу в ночное время за часы в командировке сверх нормы,CONFIRMED
0339,ACCRUAL,023A,ДоплатЗаРаботуНочноеВремя,Доплата за работу в ночное время по табелю,CONFIRMED
0339,ACCRUAL,018M,ОплЗаОжидСледПассПрНорРВ,Оплата за ожидание следования пассажиром,CONFIRMED
0339,ACCRUAL,018L,ОплЗаСледПассПредНорРабВр,Оплата за следование пассажиром,CONFIRMED
0339,ACCRUAL,015B,ОплПростойПоВинеВнутДень,Оплата времени простоя по вине работодателя (оплата в днях),CONFIRMED
0339,ACCRUAL,015A,ОплПростойПоВинеВнутСмЧас,Оплата времени простоя по вине работодателя (оплата в часах),CONFIRMED
0339,ACCRUAL,035L,ОплВыхДнСверНорПроизКоман,Оплата работы в выходной день сверх нормы рабочего времени в период производственной командировки,CONFIRMED
0339,ACCRUAL,Y013,ДопЗаРабВыходПразНеПрКом,Дополнительная оплата за работу в выходные и праздничные в пределах нормы в период командировки несвязанной с производством,CONFIRMED
0339,ACCRUAL,034A,ГособязанностиРабвремсред.,"Компенсация в размере среднего заработка, сохраняемого за работником, призванным на военные сборы, согласно законодательству Российской Федерации",CONFIRMED
0339,ACCRUAL,013L,ДопЗаРабВыходПразДниНорВр,Дополнительная оплата за работу в выходные и праздничные в пределах нормы по маршруту машиниста,CONFIRMED
0339,ACCRUAL,013J,ДопЗаРабВыходПразДниНорВр,Дополнительная оплата за работу в выходные и праздничные в пределах нормы за часы в командировке сверх нормы,CONFIRMED
0339,ACCRUAL,013A,ДопЗаРабВыходПразДниНорВр,Дополнительная оплата за работу в выходные и праздничные в пределах нормы по табелю,CONFIRMED
0339,ACCRUAL,033P,Оплата УчебныйОтпускСумма,"Оплата учебных отпусков в размере среднего заработка работникам, обучающимся в вечерних и заочных высших и средних специальных учебных заведениях и общеобразовательных школах (ручной ввод)",CONFIRMED
0339,ACCRUAL,0122,КСПрРукСпецСлуж%ПрошМес,"Премии за основные результаты хозяйственной деятельности руководителям, специалистам и служащим за прошедший месяц",CONFIRMED
0339,ACCRUAL,033B,ОплатаУчебногоОтпуска.,"Оплата учебных отпусков в размере среднего заработка работникам, обучающимся в вечерних и заочных высших и средних специальных учебных заведениях и общеобразовательных школах",CONFIRMED
0339,ACCRUAL,M011,КСПрРабПоврЛБ%ПрошМесяц,Премии за основные результаты хозяйственной деятельности локомотивным бригадам за прошедший месяц по табелю и ведомости ТХУ-3,CONFIRMED
0339,ACCRUAL,032Z,ПересчИндексПериодОтпуска,Оплата ежегодных основных оплачиваемых отпусков (пересчет с учетом индексации),CONFIRMED
0339,ACCRUAL,011Y,ПремРабПовремЛБТХУ-Сумма,Премии за основные результаты хозяйственной деятельности локомотивным бригадам за прошедший месяц по ведомости ТХУ-3,CONFIRMED
0339,ACCRUAL,032W,ПересчИнденсПериодОтпуска,Оплата ежегодных основных оплачиваемых отпусков (пересчет с учетом индексации),CONFIRMED
0339,ACCRUAL,032P,:ОпОчерЕжГодОтпускСуммТекМ,Оплата ежегодных основных оплачиваемых отпусков (ручной ввод),CONFIRMED
0339,ACCRUAL,032E,СуммОтпускБудущПериодРучн,Оплата ежегодных основных оплачиваемых отпусков будущих периодов,CONFIRMED
0339,ACCRUAL,032B,: ВозвратОтпускПриУволнКалД,Возврат оплаты ежегодных основных оплачиваемых отпусков при увольнении,CONFIRMED
0339,ACCRUAL,032A,ОплОчередЕжегодОтпускКалД,Оплата ежегодных основных оплачиваемых отпусков,CONFIRMED
0339,ACCRUAL,031A,ОплЦелоСмПростПоНезОбс2/3,"Оплата времени простоя по причинам, не зависящим от работодателя и работника",CONFIRMED
0339,ACCRUAL,0112,КСПрРабПоврем%ПрошМесяц,Премии за основные результаты хозяйственной деятельности рабочим за прошедший месяц по табелю,CONFIRMED
0339,ACCRUAL,010L,ПремЗаНагонОпоздПассПоезд,Премия за нагон опозданий пассажирских поездов,CONFIRMED
0339,ACCRUAL,007P,РасшЗоны ОбслужСовмещСумм.,"Доплата за совмещение профессий, расширение зон обслуживания (ручной ввод)",CONFIRMED
0339,ACCRUAL,030A,ОплПоСредЗаработку(Час),Оплата по среднему заработку времени служебных командировок и в других случаях оплаты по среднему заработку (в часах),CONFIRMED
0339,ACCRUAL,030B,ОплПоСредЗаработку(День),Оплата по среднему заработку времени служебных командировок и в других случаях оплаты по среднему заработку (в днях),CONFIRMED
0339,ACCRUAL,030M,ОплПоСредЗаработкуПриПереводе,Оплата по среднему заработку при временном переводе на нижеоплачиваемую должность в соответствии с медицинским заключением по состоянию здоровья,CONFIRMED
0339,ACCRUAL,007B,ДоплРасшЗонОбслСовмСумОкл,"Доплата за совмещение профессий, расширение зон обслуживания (фиксированная сумма)",CONFIRMED
0339,ACCRUAL,029B,:ОплВремяПовышКвалификДень,Оплата времени повышения квалификации (в днях),CONFIRMED
0339,ACCRUAL,029A,ОплВремяПовышКвалификЧАС,Оплата времени повышения квалификации (в часах),CONFIRMED
0339,ACCRUAL,R027,СеверНадбКоманСпортСумма,Процентная надбавка к заработной плате за стаж в районах Крайнего Севера за часы командировки несвязанной с производством,CONFIRMED
0339,ACCRUAL,Y004,ПоврОплПоОкладНеПрКоманд,Оплата работы в выходной день по окладу в период командировки несвязанной с производством (в случае предоставления другого дня отдыха),CONFIRMED
0339,ACCRUAL,027L,СеверНадбРаботКрайСевер,"Процентная надбавка к заработной плате за стаж в районах Крайнего Севера за часы оплаты простоя по причинам, не зависящим от работодателя и работника",CONFIRMED
0339,ACCRUAL,R004,ПоврОплПоТарифНеПрКоманд,Оплата работы в выходной день по тарифной ставке в период командировки несвязанной с производством (в случае предоставления другого дня отдыха),CONFIRMED
0339,ACCRUAL,004S,ПоврОплатаПоОкладамКоманд,Оплата работы в выходной день по окладу в период производственной командировки (в случае предоставления другого дня отдыха),CONFIRMED
0339,ACCRUAL,027B,СеверНадбавкНаПремПрошМес,Процентная надбавка к заработной плате за стаж в районах Крайнего Севера за прошедший месяц,CONFIRMED
0339,ACCRUAL,004L,ПоврОплатаПоТарифСтавкам,Оплата по тарифной ставке за отработанное время по маршруту машиниста,CONFIRMED
0339,ACCRUAL,004I,ПоврОплПоТарифуКомандиров,Оплата работы в выходной день по тарифной ставке в период производственной командировки (в случае предоставления другого дня отдыха),CONFIRMED
0339,ACCRUAL,027A,СевернаяНадбавкРабКрСевер,Процентная надбавка к заработной плате за стаж в районах Крайнего Севера за текущий месяц,CONFIRMED
0339,ACCRUAL,004B,ПоврОплатаПоТарифСтавкам,Оплата по тарифной ставке за отработанное время по табелю,CONFIRMED
0339,ACCRUAL,R026,РайонКоэффРФКоманСпортСум,Выплаты по районным коэффициентам по законодательству РФ за часы командировки несвязанной с производством,CONFIRMED
0339,ACCRUAL,004A,ПоврОплатаПоОкладам,"Оплата по окладам руководителям, специалистам и служащим за отработанное время",CONFIRMED
0339,ACCRUAL,026L,РайонныйКоэффициентРФ.,"Выплаты по районным коэффициентам по законодательству РФ за часы оплаты простоя по причинам, не зависящим от работодателя и работника",CONFIRMED
0339,ACCRUAL,026K,РайонКоэффРФПроизКоманд%,Выплаты по районным коэффициентам по законодательству РФ за часы производственной командировки,CONFIRMED
0339,ACCRUAL,004Q,ПоврОплПоТарифСтавВедомос,Оплата по тарифной ставке за отработанное время по ведомости ТХУ-3,CONFIRMED
0339,ACCRUAL,007A,РасшЗонОбслСовмещ%ОклФакт,"Доплата за совмещение профессий, расширение зон обслуживания (% от оклада или тарифа)",CONFIRMED
0339,ACCRUAL,0111,КСПрРабПоврем%ТекущМесяц,Премии за основные результаты хозяйственной деятельности рабочим за текущий месяц по табелю,CONFIRMED
0339,ACCRUAL,0115,КСПрРабПовр%ПрошМесяцКом,Премии за основные результаты хозяйственной деятельности рабочим за прошедший месяц за часы в командировке сверх нормы,CONFIRMED
0339,ACCRUAL,011D,ПремРабПоврСуммаПрошлМес.,Премии за основные результаты хозяйственной деятельности рабочим за прошедший месяц ручным вводом,CONFIRMED
0339,ACCRUAL,011L,ПремияРабочПовремЛБСумма,Премии за основные результаты хозяйственной деятельности рабочим за прошедший месяц по маршруту машиниста,CONFIRMED
0339,ACCRUAL,0121,КСПрРукСпецСлуж%ТекущМес,"Премии за основные результаты хозяйственной деятельности руководителям, специалистам и служащим за текущий месяц",CONFIRMED
0339,ACCRUAL,0125,КСПрРукСпецСлуж%ПрошМесКом,"Премии за основные результаты хозяйственной деятельности руководителям, специалистам и служащим за прошедший месяц за часы в командировке сверх нормы",CONFIRMED
0339,ACCRUAL,027D,СеверНадбавка,Процентная надбавка к заработной плате за стаж в районах Крайнего Севера за дополнительное премирование,CONFIRMED
0339,ACCRUAL,027K,СевНадбКрСевПроизвКоманд%,Процентная надбавка к заработной плате за стаж в районах Крайнего Севера за часы производственной командировки,CONFIRMED
0339,ACCRUAL,033E,УчебОтпускБудущПериодРучн,"Оплата учебных отпусков в размере среднего заработка работникам, обучающимся в вечерних и заочных высших и средних специальных учебных заведениях и общеобразовательных школах будущих периодов",CONFIRMED
0339,ACCRUAL,033Z,ПересчИндексПерУчОтпуска,"Оплата учебных отпусков в размере среднего заработка работникам, обучающимся в вечерних и заочных высших и средних специальных учебных заведениях и общеобразовательных школах (пересчет с учетом индексации)",CONFIRMED
0339,ACCRUAL,0352,ОплПраздДнСверхНорРабВр18,Оплата в размере одинарной тарифной ставки (оклада) за работу в нерабочие праздничные дни сверх нормы рабочего времени за следование пассажиром,CONFIRMED
0339,ACCRUAL,0353,ОплВыходДнСверхНорРабВр54,Оплата в размере одинарной тарифной ставки (оклада) за работу в выходные дни сверх нормы рабочего времени за работу дублером,CONFIRMED
0339,ACCRUAL,0357,ОплВыхДнейСверхНорВрВед,Оплата в размере одинарной тарифной ставки (оклада) за работу в выходные дни сверх нормы рабочего времени по ведомости ТХУ-3,CONFIRMED
0339,ACCRUAL,035A,ОплВыхПраздДнСверхНорРабВр,Оплата в размере одинарной тарифной ставки (оклада) за работу в выходные дни сверх нормы рабочего времени по табелю,CONFIRMED
0339,ACCRUAL,035B,ОплПраздДнейСверхНорРабВр,Оплата в размере одинарной тарифной ставки (оклада) за работу в нерабочие праздничные дни сверх нормы рабочего времени по табелю,CONFIRMED
0340,ACCRUAL,056I,НадбВысДостРукПрКом%ОтрВр,"Надбавки руководителям, специалистам и служащим за высокий уровень квалификации, высокие достижения в труде, выполнение особо важной работы за часы сверх нормы в командировке",CONFIRMED
0340,ACCRUAL,089A,ДопНизкОплРабДоMinОплТрАв,"Компенсационная доплата труда (оклада) до минимальной заработной платы, установленной в субъекте РФ, в соответствии с трудовым законодательством",CONFIRMED
0340,ACCRUAL,056A,НадбВысДостРукСпцСл%Факт,"Надбавки руководителям, специалистам и служащим за высокий уровень квалификации, высокие достижения в труде, выполнение особо важной работы (ручной ввод)",CONFIRMED
0340,ACCRUAL,05SP,ЕжМесДенКомп10%ЧасТарСумм,"Ежемесячная денежная компенсация в размере 10 процентов часовой тарифной ставки (должностного оклада) за фактически отработанное время при увеличении продолжительности рабочего времени, но не более чем до 40 часов в неделю работникам, занятым на работах с вредными и (или) опасными условиями труда (ручной ввод)",CONFIRMED
0340,ACCRUAL,083A,"СрЗ-к,ПеревБеремЛегкТрЧас","Средний заработок, сохраняемый на время перевода беременной женщины на более легкую работу, и за рабочие дни освобождения от работы до предоставления ей более легкой работы",CONFIRMED
0340,ACCRUAL,055L,ЕжМесДенКомп10%ЧасТарФаЛБ,"Ежемесячная денежная компенсация в размере 10 процентов часовой тарифной ставки (должностного оклада) за фактически отработанное время при увеличении продолжительности рабочего времени, но не более чем до 40 часов в неделю работникам, занятым на работах с вредными и (или) опасными условиями труда по маршруту машиниста",CONFIRMED
0340,ACCRUAL,076L,ДоплВыхПраздСверхНормВрем,Доплата за работу в выходные и нерабочие праздничные дни сверх нормы рабочего времени по маршруту машиниста и ведомости ТХУ-3,CONFIRMED
0340,ACCRUAL,054L,Оплата Работы Дублером,Оплата работы дублером,CONFIRMED
0340,ACCRUAL,052L,ОплЗаРабНаОдиночСледЛоком,Оплата за работу на одиночно следующем локомотиве,CONFIRMED
0340,ACCRUAL,051B,ДенКомДопЧастОтпускВрУсТр,"Денежная компенсация за часть неиспользованного ежегодного дополнительного оплачиваемого отпуска работникам, занятым на работах с вредными и (или) опасными условиями труда, превышающую 7 календарных дней",CONFIRMED
0340,ACCRUAL,076A,ДоплВыхПраздСверхНормВрем,Доплата за работу в выходные и нерабочие праздничные дни сверх нормы рабочего времени по табелю,CONFIRMED
0340,ACCRUAL,073M,"ДоплСверхУрочнВр1,00разм",Доплата за работу в сверхурочное время сверх одинарной тарифной ставки (оклада) для оплаты в двойном размере за время работы по маршруту машиниста и ведомости ТХУ-3,CONFIRMED
0340,ACCRUAL,051A,ДенКомДопЧастОтпускВрУсТР.,"Денежная компенсация за часть неиспользованного ежегодного дополнительного оплачиваемого отпуска работникам, занятым на работах с вредными и (или) опасными условиями труда, превышающую 7 календарных дней",CONFIRMED
0340,ACCRUAL,073L,"ДоплСверхУрочнВр0,5размер",Доплата за работу в сверхурочное время сверх одинарной тарифной ставки (оклада) для оплаты в полуторном размере за время работы по маршруту машиниста и ведомости ТХУ-3,CONFIRMED
0340,ACCRUAL,049A,ОпПоТарВрТехУчебВНерабВр,"Оплата по тарифу времени технической учебы, проводимой во внеурочное время",CONFIRMED
0340,ACCRUAL,048A,ОплНеВыполНормТрНед2/3тар,"Оплата труда при невыполнении норм труда, неисполнении трудовых обязанностей (недоработка до нормы рабочего времени) по причинам, не зависящим от работодателя и работника",CONFIRMED
0340,ACCRUAL,073I,ДоплСверхУрочнВр0.5Команд,Доплата за работу в сверхурочное время сверх одинарной тарифной ставки (оклада) для оплаты в полуторном размере за время командировки,CONFIRMED
0340,ACCRUAL,073B,"ДоплСверхУрочнВр1,00разм",Доплата за работу в сверхурочное время сверх одинарной тарифной ставки (оклада) для оплаты в двойном размере за время работы по табелю,CONFIRMED
0340,ACCRUAL,047P,ЕдиноврВознагНаставникСум,Единовременное денежное вознаграждение наставникам,CONFIRMED
0340,ACCRUAL,044M,ДоплРабСложнМетеоУслСумма,Доплата за работу в сложных метеорологических условиях,CONFIRMED
0340,ACCRUAL,073A,"ДоплСверхУрочнВ0,50разм",Доплата за работу в сверхурочное время сверх одинарной тарифной ставки (оклада) для оплаты в полуторном размере за время работы по табелю,CONFIRMED
0340,ACCRUAL,041A,ДенКомпенДопЧастиОтпуска,Денежная компенсация за неиспользованный ежегодный дополнительный оплачиваемый отпуск (превышающая 28 календарных дней),CONFIRMED
0340,ACCRUAL,072Z,ОплРабСверхУрочнВрЛБ,Оплата за работу в сверхурочное время в размере одинарной тарифной ставки (оклада) по маршруту машиниста и ведомости ТХУ-3,CONFIRMED
0340,ACCRUAL,072X,ОплРабСверУрочнВр_ЛБ/018L,Оплата за работу в сверхурочное время в размере одинарной тарифной ставки (оклада) за время следования пассажиром,CONFIRMED
0340,ACCRUAL,037B,ДоплДоСреднЧасЗарабСумма,"Доплата до среднего заработка в случаях, предусмотренных законодательством, коллективным и (или) трудовым договором, только за время работы в данной организации (в часах)",CONFIRMED
0340,ACCRUAL,072W,ОплРабСверУрочнВр_ЛБ/052L,Оплата за работу в сверхурочное время в размере одинарной тарифной ставки (оклада) на одиночно следующем локомотиве,CONFIRMED
0340,ACCRUAL,072U,ОплРабСверУрочнВр_ЛБ/054L,Оплата за работу в сверхурочное время в размере одинарной тарифной ставки (оклада) за работу дублером,CONFIRMED
0340,ACCRUAL,037A,ДоплДоСреднДеньЗарабСумма,"Доплата до среднего заработка в случаях, предусмотренных законодательством, коллективным и (или) трудовым договором, только за время работы в данной организации (в днях)",CONFIRMED
0340,ACCRUAL,072Q,ОплРаботСверхУрочнВр_004Q,Оплата за работу в сверхурочное время в размере одинарной тарифной ставки (оклада) по ведомости ТХУ-3,CONFIRMED
0340,ACCRUAL,035Y,ОплВыхДнСверхНорВрНеПрКом,Оплата в размере одинарной тарифной ставки (оклада) за работу в выходные дни сверх нормы рабочего времени в период командировки несвязанной с производством,CONFIRMED
0340,ACCRUAL,072N,ОплРабСверУрочнВр_ЛБ/018M,Оплата за работу в сверхурочное время в размере одинарной тарифной ставки (оклада) за время ожидания следования пассажиром,CONFIRMED
0340,ACCRUAL,072M,ОплРаботСверхУрочнВр_004B,Оплата за работу в сверхурочное время в размере одинарной тарифной ставки (оклада) рабочим,CONFIRMED
